name,description,instructions,ingredients,source
Vermicomposting Tomatoes,Tomat merupakan buah berwarna merah yang berkhasiat tinggi air dan unsur hara sehingga dapat meningkatkan kualitas tanah.,"[“Ambil peti kayu atau kotak plastik dan buat lubang di atasnya dan tutupi dengan kawat. Tempatkan di tempat yang teduh dengan gangguan minimal.”, “Siapkan Worm Bin, Ambil peti kayu atau kotak plastik dan buat lubang di atasnya dan tutupi dengan kawat. Tempatkan di tempat yang teduh dengan gangguan minimal.”, “Sobek koran, kardus, dan kertas tisu dan sebarkan secara merata di tempat sampah. Kemudian basahi alasnya dan tutupi dengan lapisan tanah yang kuat untuk memberikan pasir bagi cacing.”, “Potong tomat busuk dan campur dengan potongan kulit telur dan sisa makanan lainnya seperti kulit buah, kulit sayur, bubuk kopi, dan bahan non- sampah dapur yang berminyak.”, “Setelah sekitar dua minggu, tambahkan segenggam cacing ke obat cacing Anda. Cacing tersebut bergerak menuju bahan makanan yang berair dan menguraikannya. Tutup kembali tempat sampah agar cacing dapat menyerang sisa makanan.”, “Karena tomat mengandung cukup air, Anda harus berhati-hati dengan kadar air di tempat sampah. Tempat cacing tidak boleh terlalu kering atau terlalu basah.”, “Pupuk tomat Anda akan siap dalam waktu 2-3 bulan.”, “Keringkan kompos selama 2-3 hari sebelum digunakan untuk tanaman, dan simpan di dalam kantong untuk menyuburkan taman Anda sepanjang musim.”]","['rotten tomatoes', 'fresh tomatoes', 'wooden crate' , 'red wigglers']",https://springandsoil.com/compost-tomatoes/
Hotcomposting Tomatoes,Tomat merupakan buah berwarna merah yang berkhasiat tinggi air dan unsur hara sehingga dapat meningkatkan kualitas tanah.,"[“Buatlah tempat sampah kompos dari peti plastik atau kayu dengan cara melubanginya. Pastikan wadah tersebut memiliki penutup untuk menahan panas dan mencegah masuknya hewan ke dalam kompos. Tempatkan tempat sampah kompos di tempat yang mendapat banyak sinar matahari.”, “Siapkan daun kering, jerami, serbuk gergaji, kertas dan sebarkan secara merata di dasar wadah. Bahan berwarna coklat berperan sebagai makanan bagi mikroba dan menyerap kelebihan air di tumpukan kompos.”, “Campur irisan tomat dengan sayuran atau sisa makanan lainnya, tambahkan selapis di atas daun-daunan kering, dan basahi.”, “Isi tempat sampah kompos dengan bergantian antara bahan seperti daunan kering, kertas, serbuk kayu dan bahan seperti tomat, dan sisa makanan lainnya, kemudian tutup dengan lapisan tanah yang kuat. Anda juga bisa menambahkan pupuk kandang untuk mempercepat prosesnya.”, “Balikkan tumpukan kompos menggunakan garpu rumput untuk menghasilkan panas jika kompos menjadi dingin. Ini juga membantu meningkatkan suhu di tempat sampah.”, “Dalam waktu 3-4 bulan, kompos Anda akan siap dan Anda dapat menggunakannya di tanah kebun Anda.”]","['rotten tomatoes', 'dry leaves', 'wood chips' , 'food scraps']",https://springandsoil.com/compost-tomatoes/
Baterai Alami,"Baterai alami dengan komposisi 10 % ampas kelapa dalam 90 % filtrat tomat berpotensi memiliki arus dengan rata-rata 2,1 mA pada beda potensial 1,46 V.","[“Haluskan 1 kg tomat busuk tanpa memberikan cairan dengan menggunakan blender selama 10 menit hingga halus. Saring jus tomat busuk dan ambil filtratnya. Selanjutnya filtrat tomat busuk diuji tingkat keasamannnya dengan menggunakan pH meter.”, “Keringkan ampas kelapa di bawah terik matahari selama ± 3 hari dan diperoleh ampas yang kering. Haluskan ampas kelapa yang sudah kering menggunakan blender hingga menjadi tepung dan diayak agar diperoleh tepung ampas kelapa yang homogen.”, “ Tepung ampas kelapa dicampurkan ke dalam filtrat tomat busuk dengan variasi konsentrasi 0 %, 5 %, 10 %, 15 % dan 100 % ampas kelapa dalam 100 %, 95 %, 90 %, 85 % dan 0 % filtrat tomat busuk dalam wadah yang berbeda.”, “ Pelapis tabung pada baterai AA dilepas menggunakan cutter kemudian dibuka bagian penutupnya. Menarik katoda secara perlahan lalu mengeluarkan isi baterai hingga tabung seng (anoda) baterai tidak mengandung elektrolit. Selanjutnya baterai tersebut diisi dengan variasi komposisi elektrolit, memasukkan katoda dari baterai AA dan menutup kembali baterai dengan penutup baterai AA hingga rapat.”]","[‘blender’, ‘sieve’, ‘strainer’, ‘pH meter’, ‘digital scale’, ‘measuring cup’, ‘backer glass’, ‘cutter’, ‘used AA batteries’, ‘rotten tomatoes’, ‘coconut dregs’]",https://fisika.fmipa.unesa.ac.id/proceedings/index.php/snf/article/download/181/172/518
Composting Apples,Membuat kompos dari apel busuk adalah cara yang baik untuk memanfaatkan sisa-sisa organik dan menghasilkan pupuk alami yang berguna untuk tanah.,"[“Pertama-tama potong apel busuk menjadi potongan-potongan kecil agar apel lebih cepat terurai.”, “Siapkan bahan-bahan untuk lapisan hijau seperti sisa-sisa sayuran yang sudah dipotong”, “Siapkan lapisan daun-daun kering, sekam jagung, jarum pinus, serbuk gergaji, parutan koran, jerami atau kulit kacang.”, “Lalu letakkan apel  yang sudah dipotong menjadi bagian kecil-kecil dan lapisan bahan hijau di atas lapisan daunan kering”, “Secara teratur, campur tumpukan kompos untuk memastikan bahan-bahan tercampur dengan baik. Siram dengan air jika perlu, tetapi hindari membuat tumpukan terlalu basah.”, “Tutupi lapisan bahan hijau dengan lapisan bahan coklat seperti daun kering atau serbuk gergaji kayu. Ini membantu menyeimbangkan rasio karbon dan nitrogen.”, “Kompos biasanya memerlukan beberapa bulan untuk matang sepenuhnya. Setelah bahan-bahan terurai dengan baik, Anda dapat menggunakannya sebagai pupuk organik untuk tanaman Anda.”]","['rotten apples', 'rotten cucumber', 'vegetables', 'fresh cucumber']",https://www.weekand.com/home-garden/article/compost-apples-18010370.php
Nata de Apple,Buah apel lewat matang dapat dimanfaatkan sebagai substrat pembuatan nata de apel.,"[“Bersihkan dan potong-potong kecil buah apel yang sudah lewat matang, dan buat juice menggunakan blender dengan perbandingan buah apel dan air 1:1”, “Pisahkan cairan buah apel (sari apel) dari substratnya dilakukan penyaringan menggunakan kain”, “Sari apel yang didapat diukur pHnya. Jika pH lebih dari 4, maka ditambahkan larutan asam asetat agar terjadi penurunan pH sampai mecapai pH 3.”, “Setelah pH medium 3, dilakukan pengenceran sehingga didapatkan konsentrasi 50% (sari apel A), 25% (sari apel B), 12,5% (sari apel C).”, “Sebanyak 100 ml sari apel dimasukkan ke dalam botol kaca steril dengan diameter 5 cm dan tinggi 11 cm (350ml), ditutup dengan penutup.”, “Sterilisasi botol kaca dilakukan dengan menuangkan air mendidih ke dalam botol dan didiamkan selama 10 – 15 menit.”, “Lakukan Inokulasi strater bakteri Gluconobacter xylinus setelah semua botol terisi dengan masing – masing sari apel.”, “Medium yang sudah diinokulasi diinkubasi pada suhu ruangan (20 – 25ºC) selama masa tumbuh (15 – 25 hari).”, “Kemudian secara perlahan dan seiring berjalannya waktu, lapisan nata akan terbentuk”]","[‘fresh apples’, ‘starter bacteria Gluconobacter xylinus’, ‘universal pH indicator’, ‘acetic acid’]",https://media.neliti.com/media/publications/176330-ID-nata-de-apel-solusi-alternatif-pemanfaat.pdf
Cairan Nutrisi Tanaman dari Pisang,"Pisang busuk mengandung berbagai nutrisi penting yang sangat dibutuhkan oleh tanaman. Ada kalium, fosfor, kalsium, dan magnesium yang dapat membuat tanaman jadi lebih kuat dan subur.","[“Potong pisang-pisang busuk menjadi bagian kecil agar lebih mudah diolah.”, “Letakkan potongan-potongan pisang ke dalam wadah besar.”, “Campurkan pisang busuk dengan air bersih, lalu biarkan beberapa hari sampai pisang hancur dan berfermentasi.”, “Setelah beberapa hari, saring cairan agar terpisah dengan pisang.”, “Sekarang cairan ajaib ini dapat digunakan sebagai pupuk organik.”, ”Siram tanaman anda dengan cairan ini secara teratur, kemudian lihat bagaimana tanaman anda akan tumbuh subur dan berbuah lebat”]","['rotten bananas', 'fresh water']",https://radarlebong.disway.id/read/657910/punya-pisang-busuk-jangan-dibuang-bisa-diolah-jadi-cairan-ajaib-bikin-tanaman-kamu-berbuah-lebat/15
Cairan Insektisida dari Jeruk,"Jeruk sendiri sudah dikenal masyarakat sebagai limbah yang dapat mengusir nyamuk, dalam kulit jeruk terkandung zat limonene yang sangat tidak disukai oleh nyamuk dan berbagai macam hewan serangga lainnya.","[“Kumpulkan kulit jeruk dari jeruk segar atau pun jeruk busuk, kemudian potong kecil-kecil.”, “Setelah itu rebus kulit jeruk selama beberapa menit, kemudian disaring.”, “Masukkan ke dalam botol semprot dan cairan pengusir serangga dari kulit jeruk siap untuk digunakan.”]","[‘rotten oranges’, ‘fresh orange’, ‘water’, ‘spray bottle’]",https://www.cnnindonesia.com/gaya-hidup/20231016090545-284-1011697/cara-mengusir-nyamuk-secara-alami-tanpa-obat-bisa-pakai-kulit-jeruk
Kulit Jeruk Bakar,"Jeruk sendiri sudah dikenal masyarakat sebagai limbah yang dapat mengusir nyamuk, dalam kulit jeruk terkandung zat limonene yang sangat tidak disukai oleh nyamuk dan berbagai macam hewan serangga lainnya.","[“Kumpulkan kulit jeruk dari jeruk segar atau pun jeruk busuk.”, ”Siapkan wadah, kemudian bakar kulit jeruk dengan api.”, “Asap yang dikeluarkan dari proses pembakaran akan membantu mengusir serangga”]","[‘rotten oranges’, ‘fresh orange’, ‘fire’]",https://www.cnnindonesia.com/gaya-hidup/20231016090545-284-1011697/cara-mengusir-nyamuk-secara-alami-tanpa-obat-bisa-pakai-kulit-jeruk
Pupuk Cair dari Timun,Kulit mentimun mengandung kalium dan magnesium sulfat yang ampuh untuk membentuk klorofil dan nutrisi pada tanaman,"[“haluskan kulit mentimun yang sudah disiapkan bersama 100 mililiter air menggunakan blender”, “saring kulit mentimun yang sudah dihaluskan, lalu pisahkan antara ampas dan cairan kulit mentimun di wadah yang berbeda.”, “ampas kulit mentimun dapat dimanfaatkan langsung menjadi pupuk organik”, “Masukkan 100 gram kulit bawang merah ke air kulit mentimun yang telah disaring. Lalu, campurkan juga gula merah cair sebanyak 10 mililiter.”, “Setelah itu, tambahkan sisa air yang sebelumnya telah digunakan sebanyak 500 mililiter, kemudian aduk semua bahan hingga tercampur rata. Berikutnya, tambahkan lima mililiter atau satu tutup botol EM4 dan aduk kembali hingga merata.”, “Apabila semua sudah bahan tercampur dengan baik, masukkan ke dalam wadah tertutup untuk proses fermentasi selama 14-21 hari sebelum digunakan pada tanaman.”, “Setelah 21 hari atau proses fermentasi selesai, selanjutnya saring pupuk dan isap digunakan sebagai pupuk cair organik tanaman yang ampuh dalam menyuburkan dan menyehatkan tanaman kesayanganmu.”","[‘rotten cucumbers’, ‘fresh cucumbers’, ‘red onion’, ‘water’, ‘5 ml EM4 berwarna kuning’]",https://www.kompas.com/homey/read/2021/07/21/190700276/jangan-dibuang-ini-cara-membuat-pupuk-organik-dari-kulit-mentimun#google_vignette
Pakan Hewan Ternak dari Kulit Pisang,"Kulit pisang memiliki kandungan vitamin A tinggi, terutama provitamin A, yaitu beta-karoten, sebanyak 45 mg/100 g berat kering.","[”Giling lembah kulit pisang hingga halus.”, ”Jemur dibawah terik matahari, selama 1 atau 2 hari.”, ”simpan selama 4 ( empat ) hari untuk proses fermentasi berlangsung, boleh dibolak balik.”, ” Semprotkan secara merata probiotik dengan takaran 0.5 cc, dicampur dengan 10 cc air untuk 1 Kg bahan baku kulit pisang.”, ” Kumpulkan kulit pisang pada tempat yang khusus, yang tidak terkena hujan dan sinar matahari.”, ”Pakan hewan ternak dari kulit pisang sudah bisa diberikan ke ternak peliharaan anda”]","[‘banana peels’, ‘Probiotik EM4’, ‘Water’]",https://sumbarprov.go.id/home/news/9053-kulit-pisang-sebagai-pakan-ternak.html
